Gap_4_Candles,Opening_5th_Candle,Max_Next_4,Min_Next_4
1.447,1904.508,1904.548,1899.958
3.12,1903.065,1903.418,1899.605
4.583,1902.198,1903.418,1899.098
4.26,1903.145,1903.195,1898.278
4.59,1900.188,1901.408,1897.878
3.813,1900.495,1901.198,1897.118
4.32,1900.475,1900.965,1895.735
4.917,1898.678,1899.298,1895.735
3.53,1898.165,1898.395,1892.508
4.08,1897.805,1898.075,1891.068
5.23,1896.558,1897.598,1891.068
3.563,1897.258,1897.358,1891.068
5.887,1893.778,1895.958,1891.068
7.007,1893.088,1895.958,1891.935
6.53,1893.465,1895.958,1892.755
6.29,1895.015,1895.958,1892.755
4.89,1894.125,1895.518,1892.755
4.023,1894.425,1895.518,1890.388
3.203,1893.798,1897.808,1889.638
3.203,1893.675,1904.998,1889.638
2.763,1895.378,1908.788,1889.638
5.13,1891.058,1908.938,1889.638
8.17,1897.548,1908.938,1897.078
15.36,1902.678,1914.248,1898.228
19.15,1908.438,1916.028,1904.488
19.3,1905.318,1916.975,1905.258
11.86,1908.035,1916.975,1906.498
16.02,1912.875,1916.975,1910.335
11.54,1915.188,1916.975,1908.175
11.717,1912.548,1915.348,1907.515
10.477,1914.248,1914.528,1907.515
6.64,1910.738,1912.578,1907.515
8.8,1908.798,1912.578,1907.515
7.833,1909.525,1912.578,1905.085
7.013,1911.505,1912.578,1905.085
5.063,1910.878,1910.878,1905.085
5.063,1907.988,1909.068,1905.085
7.493,1905.938,1910.118,1905.308
7.493,1908.465,1910.118,1905.568
5.793,1906.195,1910.118,1905.568
3.983,1907.488,1910.118,1905.935
4.81,1907.475,1909.438,1905.935
4.55,1906.888,1909.438,1905.935
4.55,1908.055,1909.438,1906.385
4.183,1908.558,1910.435,1906.385
3.503,1907.815,1910.435,1906.385
3.503,1907.168,1910.658,1905.538
3.053,1908.528,1910.658,1905.538
4.05,1908.888,1911.898,1905.538
4.05,1908.088,1911.898,1905.538
5.12,1909.975,1911.898,1902.378
5.12,1908.725,1911.898,1902.218
6.36,1908.408,1911.768,1898.158
6.36,1911.445,1911.678,1898.118
9.52,1903.488,1907.098,1898.118
9.68,1903.158,1907.098,1898.118
13.61,1900.668,1907.098,1898.118
13.56,1902.848,1907.188,1900.418
8.98,1903.948,1908.778,1902.098
8.98,1903.625,1909.608,1902.098
8.98,1905.718,1909.608,1902.098
6.77,1903.528,1909.608,1899.448
6.68,1907.468,1909.608,1898.425
7.51,1907.598,1907.668,1898.425
7.51,1902.858,1905.458,1898.425
10.16,1900.425,1905.458,1898.425
11.183,1902.888,1905.458,1900.138
9.243,1902.158,1903.135,1900.138
7.033,1902.238,1903.135,1898.548
7.033,1901.298,1903.135,1898.548
5.32,1900.898,1903.135,1898.548
2.997,1902.315,1903.135,1898.548
4.587,1900.325,1903.578,1899.905
4.587,1900.928,1903.578,1900.688
4.587,1902.118,1903.698,1901.108
4.587,1901.938,1904.445,1901.108
3.673,1901.568,1904.445,1901.568
2.89,1903.115,1904.445,1901.355
2.59,1903.148,1904.445,1900.505
3.337,1903.225,1903.885,1899.928
2.877,1903.545,1903.565,1899.255
3.09,1901.545,1901.948,1897.818
3.94,1900.918,1903.955,1897.818
3.957,1900.538,1903.955,1897.818
4.31,1900.148,1903.955,1897.818
4.13,1903.828,1903.955,1897.888
6.137,1901.668,1901.668,1897.888
6.137,1901.435,1901.648,1897.958
6.137,1898.175,1904.158,1898.148
6.067,1900.238,1904.158,1899.528
3.78,1901.238,1904.158,1900.218
3.69,1900.698,1904.158,1900.218
6.01,1901.638,1903.325,1898.578
4.63,1902.885,1903.015,1898.578
3.94,1900.848,1902.418,1897.598
3.94,1900.885,1902.408,1897.598
4.747,1900.378,1900.988,1897.598
4.437,1900.638,1900.958,1897.598
4.82,1898.128,1900.958,1898.128
4.81,1899.948,1900.958,1897.378
3.39,1899.505,1900.958,1897.378
3.36,1900.615,1900.958,1897.378
2.83,1899.755,1900.378,1896.468
3.58,1897.985,1899.425,1895.715
3.58,1898.818,1899.425,1894.018
3.58,1899.215,1899.285,1891.678
3.91,1896.908,1897.238,1891.678
3.71,1896.348,1896.368,1891.678
5.407,1894.428,1894.818,1891.678
7.607,1892.608,1893.908,1891.418
5.56,1893.728,1893.798,1891.418
4.69,1892.618,1894.048,1891.418
3.14,1893.075,1894.368,1891.418
2.49,1892.975,1894.678,1892.235
2.38,1893.035,1894.678,1890.898
2.63,1894.058,1894.678,1890.898
2.95,1893.388,1894.678,1890.898
2.443,1894.525,1894.525,1890.898
3.78,1891.468,1893.818,1887.748
3.78,1891.895,1893.818,1886.898
3.78,1893.385,1893.818,1886.898
3.627,1892.985,1893.318,1886.898
6.07,1887.748,1893.178,1886.898
6.92,1888.415,1893.858,1888.128
6.92,1890.008,1896.078,1889.978
6.42,1892.108,1898.225,1891.755
6.28,1893.048,1900.938,1892.528
5.73,1893.425,1900.938,1892.958
6.1,1895.395,1900.938,1895.028
6.47,1897.878,1901.418,1897.518
8.41,1900.155,1901.418,1898.818
7.98,1899.628,1901.418,1897.958
5.91,1899.405,1901.418,1897.665
3.9,1900.635,1900.688,1897.665
2.6,1899.695,1900.448,1897.665
3.46,1898.128,1900.448,1897.665
3.753,1899.085,1900.448,1898.448
3.023,1900.015,1903.035,1898.448
2.783,1898.828,1906.105,1898.448
2.783,1900.095,1906.898,1899.298
2,1900.158,1908.288,1900.158
4.587,1901.895,1908.288,1901.835
7.657,1905.435,1909.225,1903.738
7.6,1905.745,1909.225,1904.238
8.13,1905.565,1910.438,1904.238
6.453,1906.598,1910.438,1905.475
5.487,1907.865,1915.168,1905.475
4.987,1906.375,1918.188,1905.475
6.2,1909.288,1918.188,1907.818
4.963,1908.638,1918.575,1907.908
9.693,1912.058,1918.575,1909.948
12.713,1914.735,1918.575,1909.948
10.37,1910.445,1918.575,1910.425
10.667,1916.785,1917.188,1912.228
8.627,1913.208,1917.188,1912.228
8.627,1915.045,1917.188,1911.768
8.15,1914.978,1916.315,1911.768
4.96,1913.925,1917.178,1911.768
4.96,1913.198,1917.178,1911.768
5.42,1914.668,1917.178,1913.988
4.547,1915.568,1917.178,1913.798
5.41,1916.218,1916.398,1913.798
5.41,1914.908,1916.285,1913.285
3.19,1914.628,1916.285,1913.078
3.38,1915.575,1916.285,1913.078
2.6,1915.318,1915.348,1913.048
3,1913.408,1914.528,1912.445
3.207,1913.928,1914.528,1912.255
3.207,1913.958,1914.248,1911.195
2.3,1913.788,1914.055,1910.735
2.083,1913.098,1913.738,1910.735
2.273,1912.515,1913.638,1910.735
3.053,1911.665,1914.118,1910.735
3.32,1910.885,1914.535,1910.885
3.003,1913.505,1914.535,1911.165
2.903,1913.265,1914.535,1911.165
3.383,1914.038,1914.535,1911.165
3.65,1912.568,1913.218,1911.165
3.37,1911.958,1912.888,1911.088
3.37,1911.818,1912.888,1911.088
3.37,1912.345,1913.358,1911.088
2.053,1912.358,1913.358,1911.088
1.8,1911.965,1913.685,1911.445
1.8,1912.585,1913.975,1911.445
2.27,1912.395,1914.075,1911.445
2.27,1912.725,1914.075,1911.445
